task_title,task_description,task_category,location,disaster_type,requested_volunteers_count,deadline_hours,created_hour,ngo_manual_urgency,priority_label
Critical: trauma support volunteers needed at hospital,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Logistics & Transport,Madhya Pradesh,Landslide,1,1,16,high,High
Social media content creation volunteer needed,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Education,Karnataka,None,4,336,14,low,Low
Social media content creation volunteer needed,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Fundraising,Mumbai,None,3,336,14,low,Low
Health camp registration volunteers needed Sunday,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Logistics & Transport,Uttarakhand,None,8,120,13,medium,Medium
Shelter setup support needed by tomorrow morning,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Logistics & Transport,Mumbai,Cyclone,3,48,16,high,High
Sanitation volunteers needed at relief camp,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Food & Nutrition,Gujarat,None,7,18,9,high,High
Emergency medical aid volunteers for flood victims,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Logistics & Transport,Mumbai,Landslide,4,12,21,critical,Critical
Volunteer coordinator assistant needed,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Administration,Madhya Pradesh,None,2,120,16,low,Low
Transport volunteers for weekly supply delivery,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Logistics & Transport,Madhya Pradesh,None,7,48,8,low,Medium
Video editing volunteer for awareness campaign,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Awareness,Mumbai,None,4,336,13,low,Low
Volunteer coordinator assistant needed,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Fundraising,Madhya Pradesh,None,1,336,10,low,Low
Health camp registration volunteers needed Sunday,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Awareness,Odisha,Flood,2,48,19,high,Low
Food distribution volunteers needed this evening,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Sanitation,Chennai,None,8,12,15,high,High
Critical medicine delivery volunteers needed today,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Rescue & Evacuation,Chennai,Cyclone,2,6,20,critical,High
Medical camp volunteers needed this week,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Food & Nutrition,Karnataka,Flood,3,12,11,high,High
Social media content creation volunteer needed,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Fundraising,Uttarakhand,None,2,336,12,low,Low
Critical medicine delivery volunteers needed today,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Medical,Odisha,Flood,6,2,3,critical,Critical
Data entry volunteers needed next month,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Awareness,Madhya Pradesh,None,1,168,13,low,Medium
Shelter setup support needed by tomorrow morning,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Madhya Pradesh,None,7,24,10,high,High
Water distribution support for flood-affected area,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Logistics & Transport,Uttarakhand,None,4,36,15,high,High
Library books sorting volunteers this weekend,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Logistics & Transport,Rajasthan,None,6,120,17,medium,Medium
Fundraising preparation volunteers next week,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Awareness,West Bengal,None,2,240,17,low,Low
Community kitchen volunteers needed this week,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Food & Nutrition,Bihar,None,5,120,12,high,Medium
Educational material sorting volunteers needed next week,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Administration,Odisha,None,4,120,9,medium,Low
Shelter setup support needed by tomorrow morning,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Logistics & Transport,Andhra Pradesh,Flood,4,24,20,high,Critical
Video editing volunteer for awareness campaign,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Education,Andhra Pradesh,None,4,120,11,medium,Low
Skill training session support volunteers,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Skill Training,Mumbai,None,10,48,9,high,Medium
Urgent medical volunteers needed at flood relief camp,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Medical,Assam,Cyclone,5,4,2,critical,Critical
Donation collection drive volunteers this weekend,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Logistics & Transport,Chennai,None,5,120,12,medium,Medium
Shelter setup support needed by tomorrow morning,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Logistics & Transport,Pune,None,2,18,21,high,High
Fundraising preparation volunteers next week,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Awareness,Odisha,None,4,168,11,low,Medium
Volunteer drivers needed for medicine transport tomorrow,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Food & Nutrition,Gujarat,None,8,24,19,high,High
Help needed for refugee documentation support,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Awareness,Madhya Pradesh,Flood,2,48,18,medium,Medium
Volunteers needed this weekend for donation packaging,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Psychosocial Support,Chennai,None,5,96,19,medium,High
Critical: trauma support volunteers needed at hospital,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Medical,Madhya Pradesh,Earthquake,3,12,12,high,Critical
Educational material sorting volunteers needed next week,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Awareness,Madhya Pradesh,None,1,168,17,low,Low
Urgent medical volunteers needed at flood relief camp,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Logistics & Transport,Karnataka,None,2,4,13,critical,Critical
Urgent: stranded flood victims need immediate help,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Rescue & Evacuation,Rajasthan,None,4,1,9,high,Critical
Skill training session support volunteers,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Awareness,Kerala,None,2,72,19,high,Medium
Community kitchen volunteers needed this week,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Psychosocial Support,Pune,None,10,96,12,medium,Medium
Transport volunteers for weekly supply delivery,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Awareness,Guwahati,None,5,96,12,medium,High
Urgent medical volunteers needed at flood relief camp,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Himachal Pradesh,Flood,5,8,1,high,Critical
